                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.5392,                0.77913,                0.82813,                0.72784,                0.60213,                0.63825,                0.38658,                 1.4906,                0.78592,                0.83967,               0.001882,               0.001882,               0.001882
                     84,                 1.5113,                0.76015,                0.82476,                0.71736,                0.60814,                0.63391,                0.39277,                 1.4885,                0.79184,                0.84028,               0.001783,               0.001783,               0.001783
                     85,                 1.5131,                0.75817,                0.82683,                0.75314,                0.60885,                0.64677,                0.39684,                 1.4852,                0.78551,                0.83953,               0.001684,               0.001684,               0.001684
                     86,                 1.5163,                0.77193,                0.82749,                0.73351,                 0.5918,                0.64411,                0.38882,                 1.4977,                0.78659,                0.83879,               0.001585,               0.001585,               0.001585
                     87,                 1.5262,                0.76782,                 0.8244,                0.74602,                0.60027,                0.64608,                0.37907,                 1.4993,                0.78379,                0.83875,               0.001486,               0.001486,               0.001486
                     88,                 1.4901,                0.75401,                 0.8292,                0.70828,                0.60931,                0.64071,                0.38122,                 1.4833,                0.78103,                 0.8381,               0.001387,               0.001387,               0.001387
                     89,                 1.5108,                0.75635,                0.82424,                0.71025,                0.60427,                0.63891,                0.38608,                 1.4655,                0.77546,                0.83894,               0.001288,               0.001288,               0.001288
                     90,                 1.4461,                0.74088,                0.83045,                0.72301,                0.60483,                0.63452,                0.39365,                 1.4619,                0.78018,                0.83811,               0.001189,               0.001189,               0.001189
                     91,                  1.413,                0.71579,                0.82945,                0.72475,                0.59259,                0.63959,                0.39592,                 1.4766,                0.76777,                0.83745,                0.00109,                0.00109,                0.00109
                     92,                 1.4069,                0.71825,                0.82939,                0.74447,                0.58167,                0.64249,                0.40027,                 1.4746,                0.78153,                0.83859,               0.000991,               0.000991,               0.000991
                     93,                 1.3933,                0.71249,                0.83127,                0.73444,                0.59958,                0.64664,                0.39825,                 1.4708,                0.77164,                0.83931,               0.000892,               0.000892,               0.000892
                     94,                 1.4129,                0.72295,                0.82419,                 0.7323,                0.59692,                0.63911,                0.39649,                 1.4778,                0.77165,                0.83987,               0.000793,               0.000793,               0.000793
                     95,                 1.3908,                0.70564,                0.83123,                0.77172,                0.58705,                0.64982,                0.40544,                 1.4804,                0.75909,                0.83921,               0.000694,               0.000694,               0.000694
                     96,                  1.386,                0.69646,                0.82833,                0.76154,                0.58301,                0.64693,                0.40439,                 1.4687,                0.75664,                0.83965,               0.000595,               0.000595,               0.000595
                     97,                 1.3968,                0.70603,                 0.8308,                0.67951,                0.63481,                0.65032,                0.40171,                 1.4737,                0.75682,                 0.8395,               0.000496,               0.000496,               0.000496
                     98,                 1.3946,                0.70558,                0.82774,                0.69002,                0.62754,                0.65045,                0.40099,                 1.4657,                0.76166,                0.83847,               0.000397,               0.000397,               0.000397
                     99,                 1.4016,                0.70327,                 0.8266,                0.68947,                0.62377,                0.65221,                0.40122,                 1.4584,                0.75834,                0.83841,               0.000298,               0.000298,               0.000298
